2013,New York Yankees,231978886
2013,Los Angeles Dodgers,223362196
2016,New York Yankees,222997792
2016,Los Angeles Dodgers,221288380
2014,Los Angeles Dodgers,217014600
2015,Los Angeles Dodgers,215792000
2015,New York Yankees,212751957
2005,New York Yankees,208306817
2008,New York Yankees,207896789
2010,New York Yankees,206333389
2011,New York Yankees,202275028
2009,New York Yankees,201449189
2014,New York Yankees,197543907
2012,New York Yankees,196522289
2016,Detroit Tigers,194876481
2006,New York Yankees,194663079
2007,New York Yankees,189259045
2016,Boston Red Sox,188545761
2004,New York Yankees,184193950
2015,Boston Red Sox,181103400
2014,Philadelphia Phillies,180944967
2016,Texas Rangers,176038723
2012,Philadelphia Phillies,174538938
2012,Boston Red Sox,173186617
2011,Philadelphia Phillies,172976379
2015,Detroit Tigers,172284750
2016,San Francisco Giants,172253778
2013,Philadelphia Phillies,169863189
2015,San Francisco Giants,164701500
2014,San Francisco Giants,163510167
2010,Boston Red Sox,162447333
2016,Baltimore Orioles,161863456
2011,Boston Red Sox,161762475
2015,Washington Nationals,155587472
2012,Los Angeles Angels of Anaheim,154485166
2016,Chicago Cubs,154067668
2014,Detroit Tigers,152855500
2003,New York Yankees,152749814
2013,Boston Red Sox,151530000
2009,New York Mets,149373987
2010,Chicago Cubs,146609000
2013,Detroit Tigers,145989500
2015,Texas Rangers,143742789
2016,St. Louis Cardinals,143053500
2007,Boston Red Sox,143026214
2010,Philadelphia Phillies,141928379
2016,Washington Nationals,141652646
2013,San Francisco Giants,140180334
2014,Boston Red Sox,139019929
2016,Toronto Blue Jays,138701700
2011,Los Angeles Angels of Anaheim,138543166
2008,New York Mets,137793376
2008,Detroit Tigers,137685196
2016,Los Angeles Angels of Anaheim,137251333
2016,Seattle Mariners,135683339
2009,Chicago Cubs,134809000
2010,New York Mets,134422942
2016,New York Mets,133889129
2008,Boston Red Sox,133390035
2012,Detroit Tigers,132300000
2014,Washington Nationals,131983680
2016,Kansas City Royals,131487125
2011,Chicago White Sox,127789000
2004,Boston Red Sox,127298500
2013,Toronto Blue Jays,126288100
2002,New York Yankees,125928583
2011,Chicago Cubs,125047329
2013,Los Angeles Angels of Anaheim,124174750
2005,Boston Red Sox,123505125
2010,Detroit Tigers,122864928
2015,Seattle Mariners,122208700
2014,Los Angeles Angels of Anaheim,121988250
2009,Boston Red Sox,121345999
2008,Chicago White Sox,121189332
2014,St. Louis Cardinals,120693000
2012,Texas Rangers,120510974
2006,Boston Red Sox,120099824
2013,Chicago White Sox,120065277
2015,Los Angeles Angels of Anaheim,120005415
2015,St. Louis Cardinals,119241500
2008,Los Angeles Angels of Anaheim,119216333
2011,New York Mets,118847309
2008,Los Angeles Dodgers,118588536
2015,San Diego Padres,118441300
2008,Chicago Cubs,118345833
2011,San Francisco Giants,118198333
2012,Miami Marlins,118078000
2008,Seattle Mariners,117666482
2012,San Francisco Giants,117620683
2003,New York Mets,116876429
2015,Chicago Cubs,115879310
2007,New York Mets,115231663
2009,Detroit Tigers,115085145
2015,Baltimore Orioles,115044833
2009,Los Angeles Angels of Anaheim,113709000
2013,Washington Nationals,113703270
2015,Cincinnati Reds,113072286
2009,Philadelphia Phillies,113004046
2016,Chicago White Sox,112998667
2015,Toronto Blue Jays,112992400
2011,Minnesota Twins,112737000
2016,Colorado Rockies,112645071
2013,Texas Rangers,112522600
2015,Chicago White Sox,112373700
2001,New York Yankees,112287143
2014,Texas Rangers,112255059
2015,Kansas City Royals,112107025
2015,Philadelphia Phillies,111693000
2012,St. Louis Cardinals,110300862
2001,Boston Red Sox,110035833
2014,Toronto Blue Jays,109920100
2007,Los Angeles Angels of Anaheim,109251333
2001,Los Angeles Dodgers,109105953
2007,Chicago White Sox,108671833
2007,Los Angeles Dodgers,108454524
2002,Boston Red Sox,108366060
2014,Cincinnati Reds,108217500
2015,Minnesota Twins,107755000
2007,Seattle Mariners,106460833
2013,Cincinnati Reds,106404462
2003,Atlanta Braves,106243667
2011,Detroit Tigers,105700231
2003,Los Angeles Dodgers,105572620
2010,Chicago White Sox,105530000
2002,Texas Rangers,105526122
2011,St. Louis Cardinals,105433572
2010,Los Angeles Angels of Anaheim,104963866
2011,Los Angeles Dodgers,104188999
2016,Pittsburgh Pirates,103778833
2003,Texas Rangers,103491667
2006,Los Angeles Angels of Anaheim,103472000
2014,Baltimore Orioles,103416000
2009,Houston Astros,102996414
2002,Arizona Diamondbacks,102819999
2006,Chicago White Sox,102750667
2016,Minnesota Twins,102583200
2008,Atlanta Braves,102365683
2016,San Diego Padres,101424814
2005,New York Mets,101305821
2014,Milwaukee Brewers,101217000
2006,New York Mets,101084963
2015,Milwaukee Brewers,100850000
2013,Chicago Cubs,100567726
2004,Anaheim Angels,100534667
2009,Los Angeles Dodgers,100414592
2003,Boston Red Sox,99946500
2007,Chicago Cubs,99670332
2008,St. Louis Cardinals,99624449
2009,Seattle Mariners,98904166
2010,San Francisco Giants,98641333
2006,Los Angeles Dodgers,98447187
2008,Philadelphia Phillies,97879880
2014,Arizona Diamondbacks,97861500
2008,Toronto Blue Jays,97793900
2012,Milwaukee Brewers,97653944
2014,Atlanta Braves,97609000
2010,Minnesota Twins,97559166
2012,Chicago White Sox,96919500
2015,New York Mets,96766683
2009,Atlanta Braves,96726166
2004,New York Mets,96660970
2009,Chicago White Sox,96068500
2015,Colorado Rockies,95688600
2005,Philadelphia Phillies,95522000
2014,Colorado Rockies,95403500
2010,Los Angeles Dodgers,95358016
2012,Los Angeles Dodgers,95143575
2016,Houston Astros,94893700
2005,Los Angeles Angels of Anaheim,94867822
2002,Los Angeles Dodgers,94850953
2007,Detroit Tigers,94800369
2002,New York Mets,94633593
2006,Chicago Cubs,94424499
2012,Minnesota Twins,94085000
2010,St. Louis Cardinals,93540751
2012,New York Mets,93353983
2007,Baltimore Orioles,93174808
2001,New York Mets,93174428
2001,Cleveland Indians,93152001
2004,Philadelphia Phillies,92919167
2004,Los Angeles Dodgers,92902001
2002,Atlanta Braves,92870367
2014,Seattle Mariners,92531100
2010,Houston Astros,92355500
2000,New York Yankees,92338260
2011,Texas Rangers,92299264
2013,St. Louis Cardinals,92260110
2005,St. Louis Cardinals,92106833
2001,Atlanta Braves,91936166
2004,Chicago Cubs,90560000
2007,St. Louis Cardinals,90286823
2007,San Francisco Giants,90219056
2005,San Francisco Giants,90199500
2004,Atlanta Braves,90182500
2006,Atlanta Braves,90156876
2013,Arizona Diamondbacks,90132000
2006,San Francisco Giants,90056419
2007,Philadelphia Phillies,89428213
2016,Cincinnati Reds,88940059
2008,Houston Astros,88930414
2015,Pittsburgh Pirates,88892499
2006,St. Louis Cardinals,88891371
2006,Houston Astros,88694435
2001,Texas Rangers,88633500
2009,St. Louis Cardinals,88528409
2006,Philadelphia Phillies,88273333
2012,Chicago Cubs,88197033
2011,Colorado Rockies,88148071
2006,Seattle Mariners,87959833
2000,Los Angeles Dodgers,87924286
2013,Atlanta Braves,87871525
2007,Houston Astros,87759000
2005,Seattle Mariners,87754334
2015,Cleveland Indians,87663766
2016,Arizona Diamondbacks,87439063
2007,Atlanta Braves,87290833
2005,Chicago Cubs,87032933
2011,Atlanta Braves,87002692
2003,Seattle Mariners,86959167
2016,Oakland Athletics,86806234
1999,New York Yankees,86734359
2010,Seattle Mariners,86510000
2005,Atlanta Braves,86457302
2011,Seattle Mariners,86110600
2014,New York Mets,85556990
2011,Milwaukee Brewers,85497333
2011,Baltimore Orioles,85304038
2001,Arizona Diamondbacks,85082999
2000,Atlanta Braves,84537836
2010,Atlanta Braves,84423666
2013,Baltimore Orioles,84393333
2010,Colorado Rockies,84227000
2003,St. Louis Cardinals,83786666
